"Exercise.Name","Equipment","Preparation","Execution","Target_Muscles","Synergist_Muscles","Main_muscle"
"Retraction​​​​​​​","Stretch","Stand or sit.","Pull head back as far possible while looking slightly down and hold stretch.","Longus colli,","Splenius, Trapezius, Upper, Erector Spinae, Cervicis & Capitis Fibers,","Neck"
"Neck Extensor","Stretch","Bow head forward with jaw shut. Depress chin into top of sternum.","Slightly turn head to one side. Hold stretch. Repeat to other side.","Splenius,","Trapezius, Upper (Part 1), Erector Spinae, Cervicis & Capitis Fibers,","Neck"
"Doorway","Stretch","0","0","Deltoid, Anterior,","Pectoralis Major, Sternal, Pectoralis Major, Clavicular, Pectoralis Minor, Biceps Brachii,","Shoulder"
"Wall","Stretch","0","0","Deltoid, Anterior,","Pectoralis Major, Sternal, Pectoralis Major, Clavicular, Biceps Brachii,","Shoulder"
"Side Deltoid","Stretch","0","0","Deltoid, Lateral,","Infraspinatus, Teres Minor, Trapezius, Middle, Trapezius, Lower, Rhomboids,","Shoulder"
"Rear Deltoid","Stretch","0","0","Deltoid, Posterior,","Infraspinatus, Teres Minor, Trapezius, Middle, Trapezius, Lower, Rhomboids,","Shoulder"
"Overhead​​​​​​​","Stretch","Put one arm overhead. Position forearm as close as possible to upper arm. Grasp elbow overhead with other hand.","Pull elbow back and toward head. Hold stretch. Repeat with opposite arm.","Triceps, Long Head,","Latissimus Dorsi, Teres Major,","Upper Arms"
"Towel","Stretch","Grasp near end of towel or rope. Position towel behind head so towel dangles down behind body. Reach behind back or waist with opposite hand and grasp opposite end of towel. Position upper arm close to back side of head.","Pull towel downward with lower arm. Hold stretch. Repeat with opposite arm.","Triceps, Long Head,","Latissimus Dorsi, Teres Major,","Upper Arms"
"Doorway","Stretch","Stand at end of wall or in doorway facing perpendicular to wall. Position front of straight arm and palm on surface of wall. Situate arm around same height of shoulder with elbow positioned away from wall.","Turn body away from positioned arm. Hold stretch. Repeat with opposite arm.","Biceps Brachii,","Deltoid, Anterior, Pectoralis Major, Sternal, Pectoralis Major, Clavicular, Pectoralis Minor,","Upper Arms"
"Seated","Stretch","Sit on floor or mat. Lean back and place hands flat on floor close together behind body with fingers positioned away from body.","Scoot hips forward away from hands. Hold stretch.","Biceps Brachii,","Deltoid, Anterior, Pectoralis Major, Sternal, Pectoralis Major, Clavicular,","Upper Arms"
"Standing","Stretch","Cross wrists, point thumbs downward, and clasp hands.","Cross wrists, point thumbs downward, and clasp hands.","Brachioradialis,","0","Forearm"
"Seated​​​​​​​","Stretch","Sit on floor. Place palms on floor to sides, behind hips with fingers pointing to back.","Lean back with arms straight. Hold stretch.","Wrist Flexors,","0","Forearm"
"Kneeling","Stretch","Kneel on floor or mat. Place palms of hand on floor with fingers pointing toward knees.","Shift body back with elbows straight. Hold stretch.","Wrist Flexors,","0","Forearm"
"Kneeling","Stretch","Kneel on floor or mat. Flex wrists and place tops of hand on floor with fingers pointing toward knees.","Lean against floor with elbows straight. Hold stretch for 20 seconds.","Wrist Extensors,","0","Forearm"
"Single Arm","Stretch","With palm facing downward, pull wrist and fingers downward toward forearm.","Extend or straighten elbow. Hold stretch. Repeat with opposite arm.","Wrist Extensors,","0","Forearm"
"Fixed Bar","Stretch","Stand facing stationary bar. Grasp stationary bar with one hand approximately waist height.","Bend over allowing hips to fall back. Slightly lean torso toward stretched arm. Hold stretch. Repeat with opposite side.","Back, General,","Latissimus Dorsi, Teres Major, Deltoid, Posterior, Trapezius, Lower, Rhomboids, Infraspinatus, Teres Minor,","Back"
"Lever","Stretch","Sit on seat in forward position with lower legs on shin pad, feet on foot rest. Place hands through wrist straps. Hold upper bar with arms crossed, overhand grip.","Push and lower seat back. Hold stretch. Repeat with opposite arm position.","Back, General,","Latissimus Dorsi, Teres Major, Deltoid, Posterior, Trapezius, Lower, Rhomboids, Infraspinatus, Teres Minor, Erector Spinae,","Back"
"Bar","Stretch","Standing distance facing bar approximately lower chest height. Grasp bar with both hands. Lean body forward so bar is behind/under bar and arms are to sides of head. Feet are keep away from bar.","Allow upper body to hang downward while keeping arms to sides of head. Hold stretch.","Latissimus Dorsi,","Teres Major, Triceps,","Back"
"Lever","Stretch","Sit on seat in forward position with lower legs on shin pad, feet on foot rest. Place hands through wrist straps. Hold upper bar with underhand grip.","Push and lower seat back. Hold stretch.","Latissimus Dorsi,","Teres Major, Rhomboids, Erector Spinae,","Back"
"Overhead","Stretch","Put one arm overhead. Grasp elbow or wrist overhead with other hand.","Pull elbow toward head and back or pull arm down toward opposite shoulder. Lean torso to side, away from direction of arm behind head. Hold stretch. Repeat with opposite arm.","Latissimus Dorsi,","Teres Major,","Back"
"Supine Lat","Stretch","Lie supine on mat or floor. Position arms parallel to body pointing opposite direction of legs.","Pull arms toward floor and back sides of head. Hold stretch.","Latissimus Dorsi,","Teres Major,","Back"
"Standing Side Reach","Stretch","Stand with feet far apart. Place one arm on side of thigh. Put opposite arm overhead.","Lean and reach to side away from raised arm. Hold stretch. Repeat with opposite arm.","Latissimus Dorsi,","Teres Major,","Back"
"Upper Trapezius","Stretch","Grasp wrist or hand from behind and pull arm to opposite side.","Tilt head away from lowered shoulder by positioning ear toward front of opposite shoulder. Hold stretch. Repeat to other side.","Trapezius, Upper,","Splenius,","Back"
"Fixed Bar","Stretch  Fixed Bar Hugging","Stand facing very close to stationary bar. Grasp stationary bar with both hands just below chest height.","Lean back allowing body and hips to fall back and shoulders to be pulled forward. Hold stretch","Rhomboids,","Trapezius, Middle, Trapezius, Lower,","Back"
"Hugging","Stretch  Fixed Bar Hugging","Cross both arms and place both hands behind shoulders of opposite arms.","Bring elbows closer together in front of body. Raise elbows slightly and hold stretch.","Rhomboids,","Trapezius, Middle, Trapezius, Lower,","Back"
"Broomstick","Stretch","Grasp pole at one end and position overhead with other end of pole behind opposite arm. Grasp other end of pole with hand positioned below elbow. Position elbow of lower arm close to height of shoulder.","Pull upper end of pole forward so shoulder is internally rotated. Hold stretch. Repeat with opposite arm.","Teres Minor,","Infraspinatus,","Back"
"Side Lying","Stretch","Lie supine on mat or floor with knees bent approximately 90 degrees. Position hand under side of waist, palm down.","Allow legs and hips to fall to side of positioned arm. Hold stretch. Repeat on opposite side.","Infraspinatus,","Teres Minor, Serratus Anterior, Lower Fibers,","Back"
"Side Lying Teres Minor","Stretch","Lie down on side on mat or floor. Position arm on floor with bent elbow positioned forward on mat and hand above elbow. With other hand, grasp back of wrist.","Keeping elbow bend at a right angle, push forearm downward toward floor. Hold stretch. Repeat on opposite side.","Teres Minor,","Infraspinatus,","Back"
"Broomstick","StretchBroomstickDoorway","Grasp suspension handles and position bent elbows to each sides of waist.","Pull handles apart from each side, while keeping fixed elbow position and body and legs straight throughout movement. Raise forward so handles are to each side of body. Return back until handles come back together in front of body. Repeat.","Infraspinatus,","Teres Minor, Deltoid, Posterior, Trapezius, Middle, Trapezius, Lower, Rhomboids,","Back"
"Doorway","StretchBroomstickDoorway","Grasp suspension handles and position bent elbows to each sides of waist.","Pull handles apart from each side, while keeping fixed elbow position and body and legs straight throughout movement. Raise forward so handles are to each side of body. Return back until handles come back together in front of body. Repeat.","Infraspinatus,","Teres Minor, Deltoid, Posterior, Trapezius, Middle, Trapezius, Lower, Rhomboids,","Back"
"Behind Head","Stretch","Place hands behind head.","Pull elbows back further behind ears. Hold stretch.","Pectoralis Major, Sternal,","Pectoralis Minor,","Chest"
"Doorway","Stretch","Stand at end of wall or in doorway facing perpendicular to wall. Place inside of bent arm on surface of wall. Position bent elbow shoulder height.","Turn body away from positioned arm. Hold stretch. Repeat with opposite arm.","Pectoralis Major, Sternal,","Pectoralis Major, Clavicular, Pectoralis Minor,","Chest"
"Straight Arm","Stretch","With arm extended, position hand on fixed structure shoulder height.","Turn body away from positioned arm. Hold stretch. Repeat with opposite arm.","Pectoralis Major, Sternal,","Pectoralis Major, Clavicular, Pectoralis Minor,","Chest"
"Lying","Stretch","Lie on floor or mat. Bend knees with feet on floor. Cross lower leg over thigh of other leg. Grasp foot and knee with both hands.","Pull leg toward torso. Hold stretch. Repeat with opposite leg.","Gluteus Maximus,","0","Hips"
"Lying:  Modified","Stretch","Instruct participant to lie on floor or mat. Kneel beside participant. Bend participant's knee and hip and rotate leg cross wise. Position outside of participant's knee on nearest shoulder with participants lower leg extended under arm. Position near ankle on participant's opposite lower leg.","Extend or place hands on mat to each side of participant. Push participant's leg by leaning toward participant. Repeat with opposite leg.","Gluteus Maximus,","0","Hips"
"Lying:  PNF","Stretch","Sit on floor with hip and thigh against wall. Lift back of legs up against wall by pivoting on hips and lying on back. Cross lower leg over thigh of straight leg.","Bend knee of straight leg while lowering heel on wall. Hold stretch. Repeat with opposite leg.","Gluteus Maximus,","0","Hips"
"Lying Wall","Stretch","Sit on chair or bench with ankles positioned below knees. Cross lower leg over thigh of opposite leg.","Lean down, lowering torso toward thighs. Hold stretch. Repeat with opposite leg.","Gluteus Maximus,","0","Hips"
"Seated","Stretch","Sit on chair or bench with ankles positioned below knees. Cross lower leg over thigh of opposite leg.","Lean down, lowering torso toward thighs. Hold stretch. Repeat with opposite leg.","Gluteus Maximus,","0","Hips"
"Seated:  Chair","Stretch","Sit on floor or mat reclining back with support of both arms behind body. Bend knees approximately 90 degrees with feet on floor. Cross lower leg (just above ankle) over thigh of opposite leg.","Bring torso upright by walking hands closer to hips, keeping arms straight. Lean forward and hold stretch. Repeat with opposite leg.","Gluteus Maximus,","0","Hips"
